Stations,DireDawa,Ginir,Ameya,DebreWork,Debark,Metema,NefasMewcha,Shahura,Alemaya,AwashArba,Gewane,Gambela,Tepi,Maji,Wolaita,Alemteferi,Elidar,Semera,AddisAbabaBoleE,Hosana,Nazeret,SholaGebeya,WolisoGiyon,Ziway,Robe,AmdeWork,ArbaMinch,BahirDarNew,Begi,Bullen,Combolcha,DebreMarkos,Gololcha,GondarAP,LayBirrSF,Maichew,Mankush,MirabAbayaBerBe,Sawula,Shambu,Shiraro,Sirinka,Turmi
LON,41.896833,40.706944,36.6569,38.1623,37.8979,36.4139,38.36,36.8737,42.03785,40.158889,40.658333,34.54,35.437483,35.58655,37.748889,35.233333,41.921944,41.001944,38.78577,37.85383,39.284,39.55,37.97,38.7,40.05,38.714722,37.561389,37.36,34.5175,36.082,39.717633,37.7392,40.494722,37.4319,37.17163,39.5337,35.291,37.770556,36.84125,37.125,37.76129,39.614281,36.486639
DAILY/LAT,9.613367,7.133333,7.10495,10.6506,13.14213,12.7746,11.81,11.9286,9.415133,9.141111,10.155278,8.34,7.204883,6.173183,6.821667,8.9,12.049722,11.800833,8.98528,7.5677783,8.557,9.9563893,8.5483,7.9363893,7.133333,12.434722,6.062222,11.595,9.346944,10.5959,11.083899,10.3257,7.37,12.52115,10.5916,12.28,11.272,6.273611,6.304888,9.575,14.38859,11.750998,4.971436
19900101,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,1.4,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900102,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,3.8,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900103,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900104,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.9,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,37.8,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900105,0.0,5.9,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.3,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900106,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,2.3,-99.0,4.2,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900107,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900108,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.3,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900109,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900110,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900111,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.8,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900112,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900113,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900114,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900115,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900116,1.6,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,11.6,-99.0,4.5,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900117,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,1.2,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.8,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900118,0.3,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,11.3,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900119,45.4,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,1.7,-99.0,2.3,-99.0,0.1,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900120,1.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,2.4,-99.0,0.0,-99.0,4.6,-99.0,-99.0,-99.0,-99.0,0.0,0.7,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900121,0.9,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,4.9,-99.0,6.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900122,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900123,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,28.2,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900124,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,3.1,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900125,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900126,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900127,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900128,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900129,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900130,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900131,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900201,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,1.2,0.0,-99.0,5.6,14.5,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900202,0.6,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,5.7,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,2.7,1.3,-99.0,3.2,2.1,11.6,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900203,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,3.7,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,1.1,0.0,-99.0,0.5,7.7,0.6,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900204,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,2.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,25.8,-99.0,1.0,5.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900205,0.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,38.5,-99.0,4.0,-99.0,2.0,-99.0,-99.0,-99.0,-99.0,0.0,11.1,-99.0,0.0,4.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
19900206,0.4,17.3,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,15.6,-99.0,85.7,-99.0,2.2,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,7.1,3.1,-99.0,30.4,4.9,3.6,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
